date,Karang Asem,isPartial
2016-11-27,44,False
2016-12-04,50,False
2016-12-11,45,False
2016-12-18,30,False
2016-12-25,39,False
2017-01-01,31,False
2017-01-08,45,False
2017-01-15,43,False
2017-01-22,30,False
2017-01-29,29,False
2017-02-05,22,False
2017-02-12,22,False
2017-02-19,51,False
2017-02-26,29,False
2017-03-05,21,False
2017-03-12,21,False
2017-03-19,15,False
2017-03-26,36,False
2017-04-02,14,False
2017-04-09,28,False
2017-04-16,21,False
2017-04-23,21,False
2017-04-30,14,False
2017-05-07,43,False
2017-05-14,15,False
2017-05-21,31,False
2017-05-28,23,False
2017-06-04,23,False
2017-06-11,23,False
2017-06-18,32,False
2017-06-25,27,False
2017-07-02,38,False
2017-07-09,15,False
2017-07-16,31,False
2017-07-23,30,False
2017-07-30,22,False
2017-08-06,21,False
2017-08-13,30,False
2017-08-20,43,False
2017-08-27,30,False
2017-09-03,29,False
2017-09-10,42,False
2017-09-17,100,False
2017-09-24,49,False
2017-10-01,7,False
2017-10-08,35,False
2017-10-15,35,False
2017-10-22,14,False
2017-10-29,28,False
2017-11-05,28,False
2017-11-12,35,False
2017-11-19,21,False
2017-11-26,71,False
2017-12-03,14,False
2017-12-10,43,False
2017-12-17,15,False
2017-12-24,8,False
2017-12-31,29,False
2018-01-07,21,False
2018-01-14,27,False
2018-01-21,21,False
2018-01-28,56,False
2018-02-04,21,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,34,False
2018-03-04,28,False
2018-03-11,41,False
2018-03-18,7,False
2018-03-25,7,False
2018-04-01,27,False
2018-04-08,34,False
2018-04-15,34,False
2018-04-22,27,False
2018-04-29,21,False
2018-05-06,35,False
2018-05-13,22,False
2018-05-20,34,False
2018-05-27,28,False
2018-06-03,14,False
2018-06-10,16,False
2018-06-17,21,False
2018-06-24,44,False
2018-07-01,37,False
2018-07-08,13,False
2018-07-15,54,False
2018-07-22,39,False
2018-07-29,26,False
2018-08-05,25,False
2018-08-12,14,False
2018-08-19,22,False
2018-08-26,42,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,20,False
2018-09-23,34,False
2018-09-30,54,False
2018-10-07,26,False
2018-10-14,34,False
2018-10-21,26,False
2018-10-28,25,False
2018-11-04,27,False
2018-11-11,54,False
2018-11-18,36,False
2018-11-25,34,False
2018-12-02,21,False
2018-12-09,28,False
2018-12-16,42,False
2018-12-23,45,False
2018-12-30,7,False
2019-01-06,20,False
2019-01-13,34,False
2019-01-20,35,False
2019-01-27,27,False
2019-02-03,20,False
2019-02-10,20,False
2019-02-17,20,False
2019-02-24,40,False
2019-03-03,21,False
2019-03-10,46,False
2019-03-17,33,False
2019-03-24,13,False
2019-03-31,14,False
2019-04-07,21,False
2019-04-14,7,False
2019-04-21,20,False
2019-04-28,21,False
2019-05-05,41,False
2019-05-12,34,False
2019-05-19,27,False
2019-05-26,7,False
2019-06-02,34,False
2019-06-09,34,False
2019-06-16,33,False
2019-06-23,39,False
2019-06-30,53,False
2019-07-07,53,False
2019-07-14,13,False
2019-07-21,53,False
2019-07-28,13,False
2019-08-04,13,False
2019-08-11,34,False
2019-08-18,20,False
2019-08-25,6,False
2019-09-01,25,False
2019-09-08,31,False
2019-09-15,43,False
2019-09-22,37,False
2019-09-29,31,False
2019-10-06,25,False
2019-10-13,44,False
2019-10-20,18,False
2019-10-27,43,False
2019-11-03,31,False
2019-11-10,18,False
2019-11-17,42,False
2019-11-24,24,False
2019-12-01,24,False
2019-12-08,31,False
2019-12-15,19,False
2019-12-22,33,False
2019-12-29,13,False
2020-01-05,12,False
2020-01-12,6,False
2020-01-19,37,False
2020-01-26,37,False
2020-02-02,37,False
2020-02-09,36,False
2020-02-16,30,False
2020-02-23,30,False
2020-03-01,47,False
2020-03-08,35,False
2020-03-15,27,False
2020-03-22,10,False
2020-03-29,25,False
2020-04-05,31,False
2020-04-12,16,False
2020-04-19,22,False
2020-04-26,17,False
2020-05-03,17,False
2020-05-10,22,False
2020-05-17,30,False
2020-05-24,25,False
2020-05-31,26,False
2020-06-07,15,False
2020-06-14,34,False
2020-06-21,12,False
2020-06-28,17,False
2020-07-05,18,False
2020-07-12,11,False
2020-07-19,26,False
2020-07-26,27,False
2020-08-02,10,False
2020-08-09,40,False
2020-08-16,16,False
2020-08-23,10,False
2020-08-30,10,False
2020-09-06,10,False
2020-09-13,34,False
2020-09-20,5,False
2020-09-27,14,False
2020-10-04,20,False
2020-10-11,25,False
2020-10-18,15,False
2020-10-25,11,False
2020-11-01,35,False
2020-11-08,15,False
2020-11-15,21,False
2020-11-22,10,False
2020-11-29,23,False
2020-12-06,15,False
2020-12-13,27,False
2020-12-20,18,False
2020-12-27,12,False
2021-01-03,16,False
2021-01-10,5,False
2021-01-17,38,False
2021-01-24,5,False
2021-01-31,5,False
2021-02-07,38,False
2021-02-14,11,False
2021-02-21,16,False
2021-02-28,31,False
2021-03-07,21,False
2021-03-14,23,False
2021-03-21,15,False
2021-03-28,22,False
2021-04-04,11,False
2021-04-11,33,False
2021-04-18,21,False
2021-04-25,11,False
2021-05-02,0,False
2021-05-09,0,False
2021-05-16,35,False
2021-05-23,22,False
2021-05-30,21,False
2021-06-06,25,False
2021-06-13,27,False
2021-06-20,34,False
2021-06-27,16,False
2021-07-04,17,False
2021-07-11,22,False
2021-07-18,17,False
2021-07-25,20,False
2021-08-01,26,False
2021-08-08,5,False
2021-08-15,21,False
2021-08-22,37,False
2021-08-29,11,False
2021-09-05,22,False
2021-09-12,27,False
2021-09-19,33,False
2021-09-26,11,False
2021-10-03,33,False
2021-10-10,34,False
2021-10-17,35,False
2021-10-24,22,False
2021-10-31,22,False
2021-11-07,6,False
2021-11-14,0,True
