date,Keerom,isPartial
2016-11-27,37,False
2016-12-04,0,False
2016-12-11,25,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,25,False
2017-02-05,12,False
2017-02-12,12,False
2017-02-19,0,False
2017-02-26,36,False
2017-03-05,12,False
2017-03-12,12,False
2017-03-19,0,False
2017-03-26,12,False
2017-04-02,12,False
2017-04-09,24,False
2017-04-16,23,False
2017-04-23,72,False
2017-04-30,0,False
2017-05-07,12,False
2017-05-14,13,False
2017-05-21,13,False
2017-05-28,26,False
2017-06-04,52,False
2017-06-11,13,False
2017-06-18,27,False
2017-06-25,15,False
2017-07-02,0,False
2017-07-09,50,False
2017-07-16,39,False
2017-07-23,12,False
2017-07-30,36,False
2017-08-06,24,False
2017-08-13,25,False
2017-08-20,36,False
2017-08-27,25,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,24,False
2017-09-24,0,False
2017-10-01,60,False
2017-10-08,24,False
2017-10-15,36,False
2017-10-22,12,False
2017-10-29,12,False
2017-11-05,35,False
2017-11-12,0,False
2017-11-19,12,False
2017-11-26,0,False
2017-12-03,12,False
2017-12-10,0,False
2017-12-17,24,False
2017-12-24,0,False
2017-12-31,0,False
2018-01-07,58,False
2018-01-14,23,False
2018-01-21,12,False
2018-01-28,0,False
2018-02-04,36,False
2018-02-11,24,False
2018-02-18,12,False
2018-02-25,23,False
2018-03-04,12,False
2018-03-11,35,False
2018-03-18,11,False
2018-03-25,0,False
2018-04-01,34,False
2018-04-08,11,False
2018-04-15,11,False
2018-04-22,0,False
2018-04-29,35,False
2018-05-06,12,False
2018-05-13,36,False
2018-05-20,0,False
2018-05-27,36,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,24,False
2018-06-24,10,False
2018-07-01,31,False
2018-07-08,21,False
2018-07-15,11,False
2018-07-22,22,False
2018-07-29,54,False
2018-08-05,64,False
2018-08-12,12,False
2018-08-19,24,False
2018-08-26,35,False
2018-09-02,35,False
2018-09-09,23,False
2018-09-16,22,False
2018-09-23,23,False
2018-09-30,23,False
2018-10-07,0,False
2018-10-14,23,False
2018-10-21,11,False
2018-10-28,43,False
2018-11-04,11,False
2018-11-11,34,False
2018-11-18,12,False
2018-11-25,11,False
2018-12-02,12,False
2018-12-09,12,False
2018-12-16,36,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,12,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,11,False
2019-02-17,22,False
2019-02-24,22,False
2019-03-03,23,False
2019-03-10,22,False
2019-03-17,11,False
2019-03-24,33,False
2019-03-31,0,False
2019-04-07,35,False
2019-04-14,12,False
2019-04-21,34,False
2019-04-28,59,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,34,False
2019-05-26,0,False
2019-06-02,42,False
2019-06-09,81,False
2019-06-16,22,False
2019-06-23,22,False
2019-06-30,22,False
2019-07-07,22,False
2019-07-14,0,False
2019-07-21,44,False
2019-07-28,11,False
2019-08-04,11,False
2019-08-11,11,False
2019-08-18,22,False
2019-08-25,0,False
2019-09-01,21,False
2019-09-08,31,False
2019-09-15,21,False
2019-09-22,42,False
2019-09-29,10,False
2019-10-06,21,False
2019-10-13,63,False
2019-10-20,10,False
2019-10-27,21,False
2019-11-03,21,False
2019-11-10,20,False
2019-11-17,10,False
2019-11-24,0,False
2019-12-01,30,False
2019-12-08,0,False
2019-12-15,32,False
2019-12-22,22,False
2019-12-29,11,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,21,False
2020-01-26,20,False
2020-02-02,10,False
2020-02-09,0,False
2020-02-16,41,False
2020-02-23,40,False
2020-03-01,10,False
2020-03-08,58,False
2020-03-15,27,False
2020-03-22,0,False
2020-03-29,8,False
2020-04-05,26,False
2020-04-12,9,False
2020-04-19,9,False
2020-04-26,9,False
2020-05-03,37,False
2020-05-10,19,False
2020-05-17,10,False
2020-05-24,0,False
2020-05-31,17,False
2020-06-07,8,False
2020-06-14,57,False
2020-06-21,20,False
2020-06-28,20,False
2020-07-05,10,False
2020-07-12,19,False
2020-07-19,69,False
2020-07-26,100,False
2020-08-02,51,False
2020-08-09,42,False
2020-08-16,37,False
2020-08-23,25,False
2020-08-30,51,False
2020-09-06,25,False
2020-09-13,48,False
2020-09-20,16,False
2020-09-27,89,False
2020-10-04,17,False
2020-10-11,17,False
2020-10-18,8,False
2020-10-25,18,False
2020-11-01,33,False
2020-11-08,17,False
2020-11-15,26,False
2020-11-22,17,False
2020-11-29,39,False
2020-12-06,69,False
2020-12-13,18,False
2020-12-20,30,False
2020-12-27,10,False
2021-01-03,18,False
2021-01-10,27,False
2021-01-17,27,False
2021-01-24,18,False
2021-01-31,45,False
2021-02-07,18,False
2021-02-14,27,False
2021-02-21,9,False
2021-02-28,34,False
2021-03-07,26,False
2021-03-14,8,False
2021-03-21,17,False
2021-03-28,18,False
2021-04-04,9,False
2021-04-11,56,False
2021-04-18,9,False
2021-04-25,18,False
2021-05-02,38,False
2021-05-09,0,False
2021-05-16,19,False
2021-05-23,9,False
2021-05-30,9,False
2021-06-06,42,False
2021-06-13,27,False
2021-06-20,19,False
2021-06-27,37,False
2021-07-04,67,False
2021-07-11,37,False
2021-07-18,19,False
2021-07-25,26,False
2021-08-01,26,False
2021-08-08,9,False
2021-08-15,9,False
2021-08-22,36,False
2021-08-29,27,False
2021-09-05,9,False
2021-09-12,18,False
2021-09-19,27,False
2021-09-26,0,False
2021-10-03,19,False
2021-10-10,29,False
2021-10-17,20,False
2021-10-24,18,False
2021-10-31,28,False
2021-11-07,19,False
2021-11-14,21,True
