date,Kepulauan Anambas,isPartial
2016-11-27,16,False
2016-12-04,31,False
2016-12-11,16,False
2016-12-18,33,False
2016-12-25,0,False
2017-01-01,16,False
2017-01-08,0,False
2017-01-15,16,False
2017-01-22,16,False
2017-01-29,0,False
2017-02-05,31,False
2017-02-12,31,False
2017-02-19,0,False
2017-02-26,15,False
2017-03-05,15,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,31,False
2017-04-02,30,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,15,False
2017-05-14,16,False
2017-05-21,0,False
2017-05-28,0,False
2017-06-04,16,False
2017-06-11,33,False
2017-06-18,17,False
2017-06-25,19,False
2017-07-02,16,False
2017-07-09,16,False
2017-07-16,17,False
2017-07-23,0,False
2017-07-30,31,False
2017-08-06,46,False
2017-08-13,0,False
2017-08-20,31,False
2017-08-27,16,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,15,False
2017-10-22,0,False
2017-10-29,15,False
2017-11-05,0,False
2017-11-12,30,False
2017-11-19,0,False
2017-11-26,31,False
2017-12-03,30,False
2017-12-10,15,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,16,False
2018-01-07,15,False
2018-01-14,0,False
2018-01-21,45,False
2018-01-28,0,False
2018-02-04,15,False
2018-02-11,30,False
2018-02-18,30,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,15,False
2018-04-15,29,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,0,False
2018-05-13,15,False
2018-05-20,29,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,15,False
2018-06-24,27,False
2018-07-01,13,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,14,False
2018-07-29,0,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,16,False
2018-08-26,15,False
2018-09-02,15,False
2018-09-09,30,False
2018-09-16,29,False
2018-09-23,29,False
2018-09-30,43,False
2018-10-07,57,False
2018-10-14,44,False
2018-10-21,14,False
2018-10-28,14,False
2018-11-04,14,False
2018-11-11,15,False
2018-11-18,31,False
2018-11-25,58,False
2018-12-02,45,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,16,False
2018-12-30,81,False
2019-01-06,59,False
2019-01-13,44,False
2019-01-20,15,False
2019-01-27,15,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,28,False
2019-02-24,14,False
2019-03-03,29,False
2019-03-10,43,False
2019-03-17,0,False
2019-03-24,43,False
2019-03-31,30,False
2019-04-07,29,False
2019-04-14,15,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,29,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,18,False
2019-06-09,15,False
2019-06-16,0,False
2019-06-23,28,False
2019-06-30,29,False
2019-07-07,0,False
2019-07-14,14,False
2019-07-21,56,False
2019-07-28,41,False
2019-08-04,14,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,41,False
2019-09-01,0,False
2019-09-08,40,False
2019-09-15,13,False
2019-09-22,13,False
2019-09-29,13,False
2019-10-06,13,False
2019-10-13,13,False
2019-10-20,13,False
2019-10-27,26,False
2019-11-03,13,False
2019-11-10,78,False
2019-11-17,52,False
2019-11-24,13,False
2019-12-01,0,False
2019-12-08,26,False
2019-12-15,14,False
2019-12-22,0,False
2019-12-29,14,False
2020-01-05,13,False
2020-01-12,12,False
2020-01-19,53,False
2020-01-26,13,False
2020-02-02,26,False
2020-02-09,38,False
2020-02-16,26,False
2020-02-23,0,False
2020-03-01,13,False
2020-03-08,25,False
2020-03-15,35,False
2020-03-22,11,False
2020-03-29,11,False
2020-04-05,11,False
2020-04-12,45,False
2020-04-19,70,False
2020-04-26,24,False
2020-05-03,12,False
2020-05-10,24,False
2020-05-17,39,False
2020-05-24,27,False
2020-05-31,22,False
2020-06-07,22,False
2020-06-14,24,False
2020-06-21,76,False
2020-06-28,100,False
2020-07-05,13,False
2020-07-12,24,False
2020-07-19,33,False
2020-07-26,23,False
2020-08-02,22,False
2020-08-09,21,False
2020-08-16,23,False
2020-08-23,21,False
2020-08-30,11,False
2020-09-06,0,False
2020-09-13,21,False
2020-09-20,20,False
2020-09-27,0,False
2020-10-04,43,False
2020-10-11,0,False
2020-10-18,33,False
2020-10-25,23,False
2020-11-01,11,False
2020-11-08,33,False
2020-11-15,0,False
2020-11-22,33,False
2020-11-29,40,False
2020-12-06,11,False
2020-12-13,12,False
2020-12-20,25,False
2020-12-27,0,False
2021-01-03,23,False
2021-01-10,12,False
2021-01-17,0,False
2021-01-24,11,False
2021-01-31,34,False
2021-02-07,12,False
2021-02-14,35,False
2021-02-21,22,False
2021-02-28,22,False
2021-03-07,0,False
2021-03-14,10,False
2021-03-21,0,False
2021-03-28,12,False
2021-04-04,11,False
2021-04-11,12,False
2021-04-18,23,False
2021-04-25,23,False
2021-05-02,12,False
2021-05-09,14,False
2021-05-16,25,False
2021-05-23,0,False
2021-05-30,11,False
2021-06-06,22,False
2021-06-13,11,False
2021-06-20,12,False
2021-06-27,0,False
2021-07-04,61,False
2021-07-11,12,False
2021-07-18,61,False
2021-07-25,11,False
2021-08-01,44,False
2021-08-08,0,False
2021-08-15,0,False
2021-08-22,23,False
2021-08-29,34,False
2021-09-05,0,False
2021-09-12,0,False
2021-09-19,0,False
2021-09-26,24,False
2021-10-03,48,False
2021-10-10,0,False
2021-10-17,13,False
2021-10-24,12,False
2021-10-31,0,False
2021-11-07,0,False
2021-11-14,27,True
