date,Mukomuko,isPartial
2016-11-27,16,False
2016-12-04,3,False
2016-12-11,3,False
2016-12-18,7,False
2016-12-25,10,False
2017-01-01,3,False
2017-01-08,7,False
2017-01-15,16,False
2017-01-22,23,False
2017-01-29,20,False
2017-02-05,10,False
2017-02-12,6,False
2017-02-19,13,False
2017-02-26,22,False
2017-03-05,9,False
2017-03-12,3,False
2017-03-19,10,False
2017-03-26,10,False
2017-04-02,19,False
2017-04-09,3,False
2017-04-16,18,False
2017-04-23,9,False
2017-04-30,13,False
2017-05-07,13,False
2017-05-14,7,False
2017-05-21,17,False
2017-05-28,31,False
2017-06-04,14,False
2017-06-11,14,False
2017-06-18,7,False
2017-06-25,12,False
2017-07-02,13,False
2017-07-09,3,False
2017-07-16,17,False
2017-07-23,10,False
2017-07-30,16,False
2017-08-06,22,False
2017-08-13,16,False
2017-08-20,10,False
2017-08-27,10,False
2017-09-03,10,False
2017-09-10,19,False
2017-09-17,22,False
2017-09-24,6,False
2017-10-01,9,False
2017-10-08,22,False
2017-10-15,6,False
2017-10-22,6,False
2017-10-29,12,False
2017-11-05,16,False
2017-11-12,6,False
2017-11-19,9,False
2017-11-26,6,False
2017-12-03,12,False
2017-12-10,6,False
2017-12-17,13,False
2017-12-24,20,False
2017-12-31,7,False
2018-01-07,28,False
2018-01-14,15,False
2018-01-21,22,False
2018-01-28,19,False
2018-02-04,13,False
2018-02-11,19,False
2018-02-18,28,False
2018-02-25,18,False
2018-03-04,18,False
2018-03-11,9,False
2018-03-18,6,False
2018-03-25,21,False
2018-04-01,3,False
2018-04-08,9,False
2018-04-15,15,False
2018-04-22,15,False
2018-04-29,25,False
2018-05-06,16,False
2018-05-13,25,False
2018-05-20,27,False
2018-05-27,13,False
2018-06-03,22,False
2018-06-10,3,False
2018-06-17,9,False
2018-06-24,11,False
2018-07-01,11,False
2018-07-08,6,False
2018-07-15,33,False
2018-07-22,12,False
2018-07-29,11,False
2018-08-05,17,False
2018-08-12,12,False
2018-08-19,3,False
2018-08-26,25,False
2018-09-02,9,False
2018-09-09,9,False
2018-09-16,30,False
2018-09-23,21,False
2018-09-30,24,False
2018-10-07,35,False
2018-10-14,43,False
2018-10-21,35,False
2018-10-28,34,False
2018-11-04,21,False
2018-11-11,12,False
2018-11-18,29,False
2018-11-25,57,False
2018-12-02,34,False
2018-12-09,32,False
2018-12-16,47,False
2018-12-23,30,False
2018-12-30,70,False
2019-01-06,45,False
2019-01-13,15,False
2019-01-20,28,False
2019-01-27,6,False
2019-02-03,18,False
2019-02-10,26,False
2019-02-17,15,False
2019-02-24,9,False
2019-03-03,15,False
2019-03-10,15,False
2019-03-17,12,False
2019-03-24,12,False
2019-03-31,31,False
2019-04-07,21,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,25,False
2019-05-05,24,False
2019-05-12,9,False
2019-05-19,6,False
2019-05-26,13,False
2019-06-02,19,False
2019-06-09,30,False
2019-06-16,21,False
2019-06-23,17,False
2019-06-30,27,False
2019-07-07,9,False
2019-07-14,27,False
2019-07-21,15,False
2019-07-28,14,False
2019-08-04,29,False
2019-08-11,12,False
2019-08-18,23,False
2019-08-25,14,False
2019-09-01,14,False
2019-09-08,22,False
2019-09-15,11,False
2019-09-22,17,False
2019-09-29,14,False
2019-10-06,14,False
2019-10-13,19,False
2019-10-20,19,False
2019-10-27,11,False
2019-11-03,17,False
2019-11-10,43,False
2019-11-17,53,False
2019-11-24,35,False
2019-12-01,27,False
2019-12-08,30,False
2019-12-15,48,False
2019-12-22,38,False
2019-12-29,27,False
2020-01-05,27,False
2020-01-12,26,False
2020-01-19,30,False
2020-01-26,27,False
2020-02-02,22,False
2020-02-09,34,False
2020-02-16,29,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,18,False
2020-03-15,26,False
2020-03-22,35,False
2020-03-29,20,False
2020-04-05,27,False
2020-04-12,14,False
2020-04-19,12,False
2020-04-26,15,False
2020-05-03,10,False
2020-05-10,10,False
2020-05-17,14,False
2020-05-24,33,False
2020-05-31,18,False
2020-06-07,51,False
2020-06-14,25,False
2020-06-21,31,False
2020-06-28,23,False
2020-07-05,19,False
2020-07-12,7,False
2020-07-19,14,False
2020-07-26,10,False
2020-08-02,18,False
2020-08-09,26,False
2020-08-16,24,False
2020-08-23,13,False
2020-08-30,18,False
2020-09-06,32,False
2020-09-13,11,False
2020-09-20,21,False
2020-09-27,26,False
2020-10-04,29,False
2020-10-11,18,False
2020-10-18,22,False
2020-10-25,17,False
2020-11-01,29,False
2020-11-08,18,False
2020-11-15,11,False
2020-11-22,16,False
2020-11-29,17,False
2020-12-06,41,False
2020-12-13,21,False
2020-12-20,16,False
2020-12-27,16,False
2021-01-03,17,False
2021-01-10,19,False
2021-01-17,17,False
2021-01-24,9,False
2021-01-31,9,False
2021-02-07,24,False
2021-02-14,24,False
2021-02-21,28,False
2021-02-28,14,False
2021-03-07,18,False
2021-03-14,20,False
2021-03-21,23,False
2021-03-28,10,False
2021-04-04,21,False
2021-04-11,27,False
2021-04-18,26,False
2021-04-25,19,False
2021-05-02,15,False
2021-05-09,6,False
2021-05-16,28,False
2021-05-23,29,False
2021-05-30,16,False
2021-06-06,20,False
2021-06-13,26,False
2021-06-20,100,False
2021-06-27,51,False
2021-07-04,30,False
2021-07-11,22,False
2021-07-18,13,False
2021-07-25,16,False
2021-08-01,18,False
2021-08-08,14,False
2021-08-15,14,False
2021-08-22,14,False
2021-08-29,26,False
2021-09-05,22,False
2021-09-12,19,False
2021-09-19,17,False
2021-09-26,12,False
2021-10-03,15,False
2021-10-10,25,False
2021-10-17,10,False
2021-10-24,12,False
2021-10-31,27,False
2021-11-07,10,False
2021-11-14,11,True
