date,Ogan Ilir,isPartial
2016-11-27,15,False
2016-12-04,26,False
2016-12-11,17,False
2016-12-18,7,False
2016-12-25,39,False
2017-01-01,18,False
2017-01-08,20,False
2017-01-15,31,False
2017-01-22,22,False
2017-01-29,34,False
2017-02-05,26,False
2017-02-12,26,False
2017-02-19,14,False
2017-02-26,19,False
2017-03-05,26,False
2017-03-12,21,False
2017-03-19,29,False
2017-03-26,36,False
2017-04-02,9,False
2017-04-09,26,False
2017-04-16,18,False
2017-04-23,16,False
2017-04-30,19,False
2017-05-07,12,False
2017-05-14,7,False
2017-05-21,15,False
2017-05-28,18,False
2017-06-04,13,False
2017-06-11,15,False
2017-06-18,19,False
2017-06-25,12,False
2017-07-02,27,False
2017-07-09,25,False
2017-07-16,20,False
2017-07-23,24,False
2017-07-30,21,False
2017-08-06,28,False
2017-08-13,12,False
2017-08-20,14,False
2017-08-27,20,False
2017-09-03,19,False
2017-09-10,9,False
2017-09-17,12,False
2017-09-24,23,False
2017-10-01,26,False
2017-10-08,12,False
2017-10-15,19,False
2017-10-22,16,False
2017-10-29,11,False
2017-11-05,25,False
2017-11-12,28,False
2017-11-19,16,False
2017-11-26,12,False
2017-12-03,21,False
2017-12-10,12,False
2017-12-17,19,False
2017-12-24,12,False
2017-12-31,10,False
2018-01-07,18,False
2018-01-14,7,False
2018-01-21,7,False
2018-01-28,23,False
2018-02-04,19,False
2018-02-11,12,False
2018-02-18,5,False
2018-02-25,18,False
2018-03-04,20,False
2018-03-11,27,False
2018-03-18,34,False
2018-03-25,16,False
2018-04-01,20,False
2018-04-08,16,False
2018-04-15,16,False
2018-04-22,18,False
2018-04-29,7,False
2018-05-06,21,False
2018-05-13,21,False
2018-05-20,9,False
2018-05-27,16,False
2018-06-03,26,False
2018-06-10,10,False
2018-06-17,12,False
2018-06-24,12,False
2018-07-01,16,False
2018-07-08,21,False
2018-07-15,25,False
2018-07-22,19,False
2018-07-29,19,False
2018-08-05,21,False
2018-08-12,23,False
2018-08-19,14,False
2018-08-26,21,False
2018-09-02,28,False
2018-09-09,23,False
2018-09-16,26,False
2018-09-23,20,False
2018-09-30,40,False
2018-10-07,37,False
2018-10-14,36,False
2018-10-21,67,False
2018-10-28,57,False
2018-11-04,22,False
2018-11-11,25,False
2018-11-18,33,False
2018-11-25,24,False
2018-12-02,34,False
2018-12-09,19,False
2018-12-16,16,False
2018-12-23,32,False
2018-12-30,22,False
2019-01-06,31,False
2019-01-13,18,False
2019-01-20,18,False
2019-01-27,36,False
2019-02-03,16,False
2019-02-10,17,False
2019-02-17,37,False
2019-02-24,37,False
2019-03-03,16,False
2019-03-10,31,False
2019-03-17,22,False
2019-03-24,28,False
2019-03-31,14,False
2019-04-07,20,False
2019-04-14,27,False
2019-04-21,29,False
2019-04-28,21,False
2019-05-05,9,False
2019-05-12,33,False
2019-05-19,22,False
2019-05-26,16,False
2019-06-02,25,False
2019-06-09,57,False
2019-06-16,26,False
2019-06-23,19,False
2019-06-30,18,False
2019-07-07,9,False
2019-07-14,20,False
2019-07-21,11,False
2019-07-28,17,False
2019-08-04,31,False
2019-08-11,31,False
2019-08-18,15,False
2019-08-25,13,False
2019-09-01,23,False
2019-09-08,32,False
2019-09-15,16,False
2019-09-22,18,False
2019-09-29,29,False
2019-10-06,41,False
2019-10-13,37,False
2019-10-20,18,False
2019-10-27,12,False
2019-11-03,41,False
2019-11-10,44,False
2019-11-17,26,False
2019-11-24,28,False
2019-12-01,24,False
2019-12-08,26,False
2019-12-15,25,False
2019-12-22,24,False
2019-12-29,42,False
2020-01-05,26,False
2020-01-12,25,False
2020-01-19,41,False
2020-01-26,44,False
2020-02-02,12,False
2020-02-09,31,False
2020-02-16,40,False
2020-02-23,25,False
2020-03-01,39,False
2020-03-08,29,False
2020-03-15,21,False
2020-03-22,34,False
2020-03-29,25,False
2020-04-05,24,False
2020-04-12,20,False
2020-04-19,22,False
2020-04-26,18,False
2020-05-03,27,False
2020-05-10,26,False
2020-05-17,46,False
2020-05-24,35,False
2020-05-31,15,False
2020-06-07,37,False
2020-06-14,43,False
2020-06-21,39,False
2020-06-28,38,False
2020-07-05,24,False
2020-07-12,22,False
2020-07-19,22,False
2020-07-26,53,False
2020-08-02,20,False
2020-08-09,20,False
2020-08-16,25,False
2020-08-23,35,False
2020-08-30,40,False
2020-09-06,43,False
2020-09-13,54,False
2020-09-20,18,False
2020-09-27,33,False
2020-10-04,23,False
2020-10-11,52,False
2020-10-18,42,False
2020-10-25,28,False
2020-11-01,41,False
2020-11-08,42,False
2020-11-15,31,False
2020-11-22,22,False
2020-11-29,21,False
2020-12-06,100,False
2020-12-13,12,False
2020-12-20,23,False
2020-12-27,28,False
2021-01-03,20,False
2021-01-10,16,False
2021-01-17,34,False
2021-01-24,37,False
2021-01-31,35,False
2021-02-07,27,False
2021-02-14,28,False
2021-02-21,36,False
2021-02-28,28,False
2021-03-07,33,False
2021-03-14,32,False
2021-03-21,25,False
2021-03-28,30,False
2021-04-04,44,False
2021-04-11,44,False
2021-04-18,55,False
2021-04-25,27,False
2021-05-02,35,False
2021-05-09,28,False
2021-05-16,30,False
2021-05-23,29,False
2021-05-30,45,False
2021-06-06,21,False
2021-06-13,35,False
2021-06-20,30,False
2021-06-27,52,False
2021-07-04,39,False
2021-07-11,38,False
2021-07-18,32,False
2021-07-25,37,False
2021-08-01,39,False
2021-08-08,20,False
2021-08-15,24,False
2021-08-22,30,False
2021-08-29,26,False
2021-09-05,38,False
2021-09-12,26,False
2021-09-19,27,False
2021-09-26,15,False
2021-10-03,38,False
2021-10-10,21,False
2021-10-17,21,False
2021-10-24,34,False
2021-10-31,25,False
2021-11-07,19,False
2021-11-14,27,True
